chr	start	end	flagstat	target	mstart	mapq	cigar	identity	strand	distance	matches	max_identity
chrY	5972000	5977000	272	chrY_hg002	10154512	0	3750M4D1250M	93.92	+	4182512	5000	93.92
chrY	5973000	5978000	272	chrY_hg002	10153512	0	4750M4D73M177S	95.5214596724031	+	4180512	4823	95.5214596724031
chrY	5974000	5979000	272	chrY_hg002	10152512	0	5000M	97.74	+	4178512	5000	97.74
chrY	5975000	5980000	272	chrY_hg002	10151513	0	824M1I4175M	97.64	+	4176513	4999	97.64
chrY	5976000	5981000	272	chrY_hg002	10150513	0	1824M1I3175M	97.46	+	4174513	4999	97.46
chrY	5977000	5982000	272	chrY_hg002	10149513	0	2824M1I2175M	96.12	+	4172513	4999	96.12
chrY	5978000	5983000	272	chrY_hg002	10149170	0	657S3167M1I1175M	97.9737508634584	+	4171170	4342	97.9737508634584
chrY	5979000	5984000	272	chrY_hg002	10149170	0	1657S3167M1I175M	97.5770266227939	+	4170170	3342	97.5770266227939
chrY	5980000	5985000	272	chrY_hg002	10149170	0	2657S2343M	96.7562953478446	+	4169170	2343	96.7562953478446
chrY	5981000	5986000	272	chrY_hg002	10149170	0	3657S1343M	95.0111690245719	+	4168170	1343	95.0111690245719
chrY	6010000	6015000	16	chrY_hg002	10116505	0	1159M3841S	86.281276962899	+	4106505	1159	86.281276962899
chrY	6011000	6016000	272	chrY_hg002	10115563	0	58S2101M2841S	85.149928605426	+	4104563	2101	85.149928605426
chrY	6012000	6017000	272	chrY_hg002	10115563	0	1058S2101M1841S	85.149928605426	+	4103563	2101	85.149928605426
chrY	6013000	6018000	272	chrY_hg002	10113509	0	1195M3805S	96.8200836820084	+	4100509	1195	96.8200836820084
chrY	6014000	6019000	2064	chrY_hg002	10113282	0	773H1422M2805H	97.3277074542897	+	4099282	1422	97.3277074542897
chrY	6015000	6020000	16	chrY_hg002	10113282	0	1773S1422M1805S	97.3277074542897	+	4098282	1422	97.3277074542897
chrY	6030000	6035000	272	chrY_hg002	10109269	0	2752S915M4I1002M327S	82.7693909422176	+	4079269	1917	82.7693909422176
chrY	6031000	6036000	272	chrY_hg002	10109269	0	3752S915M4I329M	73.4775641025641	+	4078269	1244	73.4775641025641
chrY	6032000	6037000	272	chrY_hg002	10105267	0	752S1088M3160S	97.6102941176471	+	4073267	1088	97.6102941176471
chrY	6033000	6038000	272	chrY_hg002	10105267	0	1752S1088M2160S	97.6102941176471	+	4072267	1088	97.6102941176471
chrY	6034000	6039000	272	chrY_hg002	10105267	0	2752S1088M1160S	97.6102941176471	+	4071267	1088	97.6102941176471
chrY	6035000	6040000	16	chrY_hg002	10105267	0	3752S1088M160S	97.6102941176471	+	4070267	1088	97.6102941176471
chrY	6036000	6041000	272	chrY_hg002	10102749	0	2234S1112M1654S	84.7122302158273	+	4066749	1112	84.7122302158273
chrY	6037000	6042000	272	chrY_hg002	10102749	0	3234S1112M654S	84.7122302158273	+	4065749	1112	84.7122302158273
chrY	6038000	6043000	272	chrY_hg002	10098515	0	2562M2438S	72.9898516783763	+	4060515	2562	72.9898516783763
chrY	6039000	6044000	272	chrY_hg002	10097515	0	3562M1438S	68.107804604155	+	4058515	3562	68.107804604155
chrY	6040000	6045000	272	chrY_hg002	10096515	0	4562M438S	69.8816308636563	+	4056515	4562	69.8816308636563
chrY	6041000	6046000	272	chrY_hg002	10096061	0	546S4454M	69.1513246519982	+	4055061	4454	69.1513246519982
chrY	6042000	6047000	272	chrY_hg002	10096061	0	1546S3454M	69.0793283149971	+	4054061	3454	69.0793283149971
chrY	6043000	6048000	16	chrY_hg002	10096061	0	2546S2454M	72.2086389568052	+	4053061	2454	72.2086389568052
chrY	6044000	6049000	272	chrY_hg002	10096061	0	3546S1454M	83.6313617606603	+	4052061	1454	83.6313617606603
chrY	6046000	6051000	16	chrY_hg002	10090515	0	1501M3499S	82.0786142571619	+	4044515	1501	82.0786142571619
chrY	6047000	6052000	272	chrY_hg002	10089515	0	2501M2499S	79.1283486605358	+	4042515	2501	79.1283486605358
chrY	6048000	6053000	272	chrY_hg002	10088515	0	3501M1499S	85.0899742930591	+	4040515	3501	85.0899742930591
chrY	6049000	6054000	16	chrY_hg002	10087918	0	403S4098M499S	81.2103465104929	+	4038918	4098	81.2103465104929
chrY	6050000	6055000	272	chrY_hg002	10087918	0	1403S3597M	82.4020016680567	+	4037918	3597	82.4020016680567
chrY	6051000	6056000	272	chrY_hg002	10087918	0	2403S2597M	80.7085098190219	+	4036918	2597	80.7085098190219
chrY	6052000	6057000	16	chrY_hg002	10087918	0	3403S1597M	84.4708829054477	+	4035918	1597	84.4708829054477
chrY	6056000	6061000	272	chrY_hg002	10081103	0	588S1026M3386S	76.1208576998051	+	4025103	1026	76.1208576998051
chrY	6057000	6062000	272	chrY_hg002	10081103	0	1588S1026M2386S	76.1208576998051	+	4024103	1026	76.1208576998051
chrY	6058000	6063000	272	chrY_hg002	10081103	0	2588S1026M1386S	76.1208576998051	+	4023103	1026	76.1208576998051
chrY	6059000	6064000	272	chrY_hg002	10081103	0	3588S1026M386S	76.1208576998051	+	4022103	1026	76.1208576998051
chrY	6061000	6066000	272	chrY_hg002	10075513	0	732M2D1189M3079S	70.5361790733993	+	4014513	1921	70.5361790733993
chrY	6062000	6067000	272	chrY_hg002	10075338	0	825S907M2D1189M2079S	72.9961832061069	+	4013338	2096	72.9961832061069
chrY	6063000	6068000	272	chrY_hg002	10073513	0	1298M3702S	92.9892141756548	+	4010513	1298	92.9892141756548
chrY	6064000	6069000	16	chrY_hg002	10072559	0	46S2252M2702S	93.0284191829485	+	4008559	2252	93.0284191829485
chrY	6065000	6070000	16	chrY_hg002	10071688	0	175S3123M1702S	82.6769132244637	+	4006688	3123	82.6769132244637
chrY	6066000	6071000	16	chrY_hg002	10071688	0	1175S3123M702S	82.6769132244637	+	4005688	3123	82.6769132244637
chrY	6067000	6072000	272	chrY_hg002	10071688	0	2175S2825M	80.8495575221239	+	4004688	2825	80.8495575221239
chrY	6068000	6073000	2064	chrY_hg002	10069119	0	606H1788M2606H	75.8948545861298	+	4001119	1788	75.8948545861298
chrY	6069000	6074000	272	chrY_hg002	10069119	0	1606S1788M1606S	75.8948545861298	+	4000119	1788	75.8948545861298
chrY	6070000	6075000	272	chrY_hg002	10069119	0	2606S1788M606S	75.8948545861298	+	3999119	1788	75.8948545861298
chrY	6071000	6076000	2064	chrY_hg002	10069119	0	3606H1394M	69.0817790530846	+	3998119	1394	69.0817790530846
chrY	6072000	6077000	272	chrY_hg002	10064513	0	1295M3705S	82.007722007722	+	3992513	1295	82.007722007722
chrY	6073000	6078000	272	chrY_hg002	10063513	0	2295M2705S	70.1525054466231	+	3990513	2295	70.1525054466231
chrY	6074000	6079000	272	chrY_hg002	10062559	0	46S3249M1705S	78.9165897199138	+	3988559	3249	78.9165897199138
chrY	6075000	6080000	16	chrY_hg002	10061531	0	18S4277M705S	78.3960720130933	+	3986531	4277	78.3960720130933
chrY	6076000	6081000	16	chrY_hg002	10060664	0	151S4849M	74.3452258197566	+	3984664	4849	74.3452258197566
chrY	6077000	6082000	16	chrY_hg002	10060664	0	1151S3849M	71.3172252533125	+	3983664	3849	71.3172252533125
chrY	6078000	6083000	2064	chrY_hg002	10058513	0	1363M3637H	78.7234042553192	+	3980513	1363	78.7234042553192
chrY	6079000	6084000	16	chrY_hg002	10058305	0	792S1571M2637S	81.5404201145767	+	3979305	1571	81.5404201145767
chrY	6080000	6085000	16	chrY_hg002	10058305	0	1792S1571M1637S	81.5404201145767	+	3978305	1571	81.5404201145767
chrY	6081000	6086000	272	chrY_hg002	10058305	0	2792S1571M637S	81.5404201145767	+	3977305	1571	81.5404201145767
chrY	6082000	6087000	2064	chrY_hg002	10058305	0	3792H1208M	75.9933774834437	+	3976305	1208	75.9933774834437
chrY	6083000	6088000	272	chrY_hg002	10053562	0	49S1674M3277S	79.9880525686977	+	3970562	1674	79.9880525686977
chrY	6084000	6089000	272	chrY_hg002	10053562	0	1049S1674M2277S	79.9880525686977	+	3969562	1674	79.9880525686977
chrY	6085000	6090000	16	chrY_hg002	10053562	0	2049S1674M1277S	79.9880525686977	+	3968562	1674	79.9880525686977
chrY	6086000	6091000	272	chrY_hg002	10050513	0	2538M2462S	80.575256107171	+	3964513	2538	80.575256107171
chrY	6087000	6092000	16	chrY_hg002	10050368	0	855S2683M1462S	81.6250465896385	+	3963368	2683	81.6250465896385
chrY	6088000	6093000	16	chrY_hg002	10050368	0	1855S2683M462S	81.6250465896385	+	3962368	2683	81.6250465896385
chrY	6089000	6094000	272	chrY_hg002	10047761	0	248S1179M3573S	92.7905004240882	+	3958761	1179	92.7905004240882
chrY	6090000	6095000	2064	chrY_hg002	10050368	0	3855H1145M	100	+	3960368	1145	100
chrY	6091000	6096000	272	chrY_hg002	10045513	0	3427M1573S	74.0881237233732	+	3954513	3427	74.0881237233732
chrY	6092000	6097000	272	chrY_hg002	10045410	0	897S3530M573S	74.8441926345609	+	3953410	3530	74.8441926345609
chrY	6093000	6098000	272	chrY_hg002	10045410	0	1897S3103M	71.3825330325491	+	3952410	3103	71.3825330325491
chrY	6094000	6099000	2064	chrY_hg002	10042793	0	280H1196M3524H	83.9464882943144	+	3948793	1196	83.9464882943144
chrY	6095000	6100000	16	chrY_hg002	10045410	0	3897S1097M6S	95.897903372835	+	3950410	1097	95.897903372835
chrY	6096000	6101000	16	chrY_hg002	10042793	0	2280S1196M1524S	83.9464882943144	+	3946793	1196	83.9464882943144
chrY	6097000	6102000	16	chrY_hg002	10042793	0	3280S1196M524S	83.9464882943144	+	3945793	1196	83.9464882943144
chrY	6098000	6103000	272	chrY_hg002	10038513	0	1121M3879S	82.9616413916146	+	3940513	1121	82.9616413916146
chrY	6099000	6104000	16	chrY_hg002	10037513	0	2121M2879S	76.5676567656766	+	3938513	2121	76.5676567656766
chrY	6100000	6105000	272	chrY_hg002	10037153	0	640S2481M1879S	79.9677549375252	+	3937153	2481	79.9677549375252
chrY	6101000	6106000	16	chrY_hg002	10037153	0	1640S2481M879S	79.9677549375252	+	3936153	2481	79.9677549375252
chrY	6102000	6107000	2064	chrY_hg002	10034700	0	187H1669M3144H	94.3079688436189	+	3932700	1669	94.3079688436189
chrY	6103000	6108000	16	chrY_hg002	10034700	0	1187S1669M2144S	94.3079688436189	+	3931700	1669	94.3079688436189
chrY	6104000	6109000	16	chrY_hg002	10034700	0	2187S1669M1144S	94.3079688436189	+	3930700	1669	94.3079688436189
chrY	6105000	6110000	16	chrY_hg002	10034700	0	3187S1669M144S	94.3079688436189	+	3929700	1669	94.3079688436189
chrY	6106000	6111000	2064	chrY_hg002	10030621	0	108H1055M3837H	80.6635071090047	+	3924621	1055	80.6635071090047
chrY	6107000	6112000	2064	chrY_hg002	10030621	0	1108H1055M2837H	80.6635071090047	+	3923621	1055	80.6635071090047
chrY	6108000	6113000	272	chrY_hg002	10030621	0	2108S1055M1837S	80.6635071090047	+	3922621	1055	80.6635071090047
chrY	6109000	6114000	16	chrY_hg002	10030621	0	3108S1055M837S	80.6635071090047	+	3921621	1055	80.6635071090047
chrY	6111000	6116000	272	chrY_hg002	10025513	0	1266M3734S	64.4549763033175	+	3914513	1266	64.4549763033175
chrY	6112000	6117000	16	chrY_hg002	10025306	0	793S1473M2734S	69.4501018329939	+	3913306	1473	69.4501018329939
chrY	6113000	6118000	272	chrY_hg002	10025306	0	1793S1473M1734S	69.4501018329939	+	3912306	1473	69.4501018329939
chrY	6114000	6119000	2064	chrY_hg002	10025306	0	2793H1473M734H	69.4501018329939	+	3911306	1473	69.4501018329939
chrY	6115000	6120000	272	chrY_hg002	10021513	0	1985M3015S	89.0680100755667	+	3906513	1985	89.0680100755667
chrY	6116000	6121000	272	chrY_hg002	10021511	0	998S1987M2015S	89.0790135883241	+	3905511	1987	89.0790135883241
chrY	6117000	6122000	272	chrY_hg002	10021511	0	1998S1987M1015S	89.0790135883241	+	3904511	1987	89.0790135883241
chrY	6118000	6123000	272	chrY_hg002	10021511	0	2998S1987M15S	89.0790135883241	+	3903511	1987	89.0790135883241
chrY	6119000	6124000	16	chrY_hg002	10019133	0	1620S1853M1527S	76.2007555315704	+	3900133	1853	76.2007555315704
chrY	6120000	6125000	16	chrY_hg002	10016791	0	278S1785M2937S	80.1120448179272	+	3896791	1785	80.1120448179272
chrY	6121000	6126000	272	chrY_hg002	10016791	0	1278S1785M1937S	80.1120448179272	+	3895791	1785	80.1120448179272
chrY	6122000	6127000	272	chrY_hg002	10014513	0	1746M3254S	86.5979381443299	+	3892513	1746	86.5979381443299
chrY	6123000	6128000	272	chrY_hg002	10014343	0	830S1916M2254S	87.7870563674321	+	3891343	1916	87.7870563674321
chrY	6124000	6129000	272	chrY_hg002	10014343	0	1830S1916M1254S	87.7870563674321	+	3890343	1916	87.7870563674321
chrY	6125000	6130000	272	chrY_hg002	10014343	0	2830S1916M254S	87.7870563674321	+	3889343	1916	87.7870563674321
chrY	6126000	6131000	16	chrY_hg002	10014343	0	3830S1170M	80	+	3888343	1170	80
chrY	6132000	6137000	272	chrY_hg002	10004907	0	398S54M1D959M3589S	81.9348469891412	+	3872907	1013	81.9348469891412
chrY	6133000	6138000	272	chrY_hg002	10004907	0	1398S54M1D959M2589S	81.9348469891412	+	3871907	1013	81.9348469891412
chrY	6134000	6139000	272	chrY_hg002	10004907	0	2398S54M1D959M1589S	81.9348469891412	+	3870907	1013	81.9348469891412
chrY	6135000	6140000	272	chrY_hg002	10001681	0	172S1487M3341S	84.7343644922663	+	3866681	1487	84.7343644922663
chrY	6136000	6141000	16	chrY_hg002	10001681	0	1172S1487M2341S	84.7343644922663	+	3865681	1487	84.7343644922663
chrY	6137000	6142000	272	chrY_hg002	10001681	0	2172S1487M1341S	84.7343644922663	+	3864681	1487	84.7343644922663
chrY	6138000	6143000	16	chrY_hg002	10001681	0	3172S1487M341S	84.7343644922663	+	3863681	1487	84.7343644922663
chrY	6139000	6144000	272	chrY_hg002	10000086	0	2577S1081M1342S	76.6882516188714	+	3861086	1081	76.6882516188714
chrY	6140000	6145000	272	chrY_hg002	10000086	0	3577S1081M342S	76.6882516188714	+	3860086	1081	76.6882516188714
chrY	6141000	6146000	272	chrY_hg002	9995518	0	163M9I1058M3770S	78.3739837398374	+	3854518	1221	78.3739837398374
chrY	6174000	6179000	272	chrY_hg002	9959854	0	3086M1914S	97.5372650680492	+	3785854	3086	97.5372650680492
chrY	6175000	6180000	272	chrY_hg002	9958854	0	4086M914S	98.0420949583945	+	3783854	4086	98.0420949583945
chrY	6176000	6181000	272	chrY_hg002	9957854	0	5000M	97.54	+	3781854	5000	97.54
chrY	6177000	6182000	272	chrY_hg002	9957021	0	167S4833M	96.4618249534451	+	3780021	4833	96.4618249534451
chrY	6182000	6187000	272	chrY_hg002	9953784	0	2819S525M1D1518M138S	99.1678903573177	+	3771784	2043	99.1678903573177
chrY	6183000	6188000	272	chrY_hg002	9953784	0	3819S525M1D656M	99.0685859441152	+	3770784	1181	99.0685859441152
chrY	6184000	6189000	272	chrY_hg002	9948964	0	1108M3892S	99.6389891696751	+	3764964	1108	99.6389891696751
chrY	6185000	6190000	272	chrY_hg002	9947965	0	239M1I1868M2892S	99.4781783681214	+	3762965	2107	99.4781783681214
chrY	6186000	6191000	272	chrY_hg002	9946966	0	139M1D343M1I65M1I690M1I1868M1892S	99.2921492921493	+	3760966	3105	99.2921492921493
chrY	6187000	6192000	272	chrY_hg002	9946128	0	162S977M1D343M1I65M1I690M1I1868M892S	99.3664470349721	+	3759128	3943	99.3664470349721
chrY	6188000	6193000	272	chrY_hg002	9946128	0	1162S977M1D343M1I65M1I690M1I1760M	99.3486190724336	+	3758128	3835	99.3486190724336
chrY	6189000	6194000	272	chrY_hg002	9946128	0	2162S977M1D343M1I65M1I690M1I760M	99.2600422832981	+	3757128	2835	99.2600422832981
chrY	6190000	6195000	272	chrY_hg002	9946128	0	3162S977M1D343M1I65M1I451M	99.2383025027203	+	3756128	1836	99.2383025027203
chrY	6196000	6201000	272	chrY_hg002	9937129	0	176S93M4D620M1I364M1D1016M17I607M2106S	83.701250919794	+	3741129	2700	83.701250919794
chrY	6199000	6204000	272	chrY_hg002	9937129	0	3176S93M4D620M1I364M1D746M	82.0723684210526	+	3738129	1823	82.0723684210526
chrY	7235000	7240000	272	chrY_hg002	23580791	0	35M1I1655M3309S	94.3820224719101	+	16345791	1690	94.3820224719101
chrY	7236000	7241000	272	chrY_hg002	23579883	0	92S943M1I1655M2309S	96.1908426317815	+	16343883	2598	96.1908426317815
chrY	7237000	7242000	272	chrY_hg002	23578996	0	203S573M2I1257M1I1655M1309S	88.0447247706422	+	16341996	3485	88.0447247706422
chrY	7238000	7243000	272	chrY_hg002	23577793	0	1776M2I1257M1I1655M309S	84.1824770837774	+	16339793	4688	84.1824770837774
chrY	7239000	7244000	272	chrY_hg002	23577244	0	451S2325M2I1257M1I964M	79.0503407342273	+	16338244	4546	79.0503407342273
chrY	7240000	7245000	272	chrY_hg002	23577244	0	1451S2325M2I1222M	73.3446041138349	+	16337244	3547	73.3446041138349
chrY	7246000	7251000	272	chrY_hg002	23572507	0	1101S1043M2I128M1D1750M1D287M7D252M5D343M94S	73.4822601839685	+	16326507	3803	73.4822601839685
chrY	7247000	7252000	272	chrY_hg002	23570406	0	1696M3304S	85.4952830188679	+	16323406	1696	85.4952830188679
chrY	7248000	7253000	272	chrY_hg002	23569406	0	2696M2304S	79.5623145400593	+	16321406	2696	79.5623145400593
chrY	7249000	7254000	272	chrY_hg002	23568604	0	198S3498M1304S	84.1337907375643	+	16319604	3498	84.1337907375643
chrY	7250000	7255000	272	chrY_hg002	23568604	0	1198S3498M304S	84.1337907375643	+	16318604	3498	84.1337907375643
chrY	7251000	7256000	272	chrY_hg002	23568604	0	2198S2802M	80.2284082798001	+	16317604	2802	80.2284082798001
chrY	7252000	7257000	272	chrY_hg002	23568604	0	3198S1802M	82.8523862375139	+	16316604	1802	82.8523862375139
chrY	7257000	7262000	272	chrY_hg002	23557474	0	1946M3054S	80.8838643371018	+	16300474	1946	80.8838643371018
chrY	7258000	7263000	272	chrY_hg002	23556474	0	2946M2054S	72.2674813306178	+	16298474	2946	72.2674813306178
chrY	7259000	7264000	272	chrY_hg002	23555474	0	3946M1054S	79.2194627470857	+	16296474	3946	79.2194627470857
chrY	7260000	7265000	272	chrY_hg002	23554474	0	4946M54S	75.5357864941367	+	16294474	4946	75.5357864941367
chrY	7261000	7266000	272	chrY_hg002	23554296	0	822S4145M33S	78.1664656212304	+	16293296	4145	78.1664656212304
chrY	7262000	7267000	272	chrY_hg002	23554296	0	1822S3178M	73.5997482693518	+	16292296	3178	73.5997482693518
chrY	7262000	7267000	272	chrY_hg002	25385549	0	1822S3178M	73.5997482693518	+	18123549	3178	73.5997482693518
chrY	7262000	7267000	272	chrY_hg002	27004971	0	1822S3178M	73.5997482693518	+	19742971	3178	73.5997482693518
chrY	7263000	7268000	272	chrY_hg002	23554296	0	2822S2178M	81.9100091827365	+	16291296	2178	81.9100091827365
chrY	7263000	7268000	272	chrY_hg002	25385549	0	2822S2178M	81.9100091827365	+	18122549	2178	81.9100091827365
chrY	7263000	7268000	272	chrY_hg002	27004971	0	2822S2178M	81.9100091827365	+	19741971	2178	81.9100091827365
chrY	7264000	7269000	272	chrY_hg002	23554296	0	3822S1178M	66.8081494057725	+	16290296	1178	66.8081494057725
chrY	7264000	7269000	272	chrY_hg002	25385549	0	3822S1178M	66.8081494057725	+	18121549	1178	66.8081494057725
chrY	7264000	7269000	272	chrY_hg002	27004971	0	3822S1178M	66.8081494057725	+	19740971	1178	66.8081494057725
chrY	7265000	7270000	272	chrY_hg002	25380719	0	61M3D1618M4D323M2998S	66.2837162837163	+	18115719	2002	66.2837162837163
chrY	7266000	7271000	272	chrY_hg002	25379828	0	109S952M3D1618M4D323M1998S	61.4932595921189	+	18113828	2893	61.4932595921189
chrY	7266000	7271000	272	chrY_hg002	26999251	0	109S952M4D1618M4D323M1998S	61.4932595921189	+	19733251	2893	61.4932595921189
chrY	7267000	7272000	272	chrY_hg002	25379319	0	600S1461M3D1618M4D323M998S	61.8459729570841	+	18112319	3402	61.8459729570841
chrY	7267000	7272000	272	chrY_hg002	26998742	0	600S1461M4D1618M4D323M998S	61.8459729570841	+	19731742	3402	61.8459729570841
chrY	7268000	7273000	272	chrY_hg002	25379319	0	1600S1461M3D1618M4D321M	61.8235294117647	+	18111319	3400	61.8235294117647
chrY	7268000	7273000	272	chrY_hg002	26998742	0	1600S1461M4D1618M4D321M	61.8235294117647	+	19730742	3400	61.8235294117647
chrY	7269000	7274000	272	chrY_hg002	25379319	0	2600S1461M3D939M	63.5416666666667	+	18110319	2400	63.5416666666667
chrY	7269000	7274000	272	chrY_hg002	26998742	0	2600S1461M4D939M	63.5416666666667	+	19729742	2400	63.5416666666667
chrY	7270000	7275000	272	chrY_hg002	23548064	0	3600S1026M374S	68.2261208576998	+	16278064	1026	68.2261208576998
chrY	7270000	7275000	16	chrY_hg002	26998742	0	3600S1026M374S	68.2261208576998	+	19728742	1026	68.2261208576998
chrY	7279000	7284000	272	chrY_hg002	23535462	0	1062M3938S	96.7984934086629	+	16256462	1062	96.7984934086629
chrY	7279000	7284000	272	chrY_hg002	25366717	0	1062M3938S	96.7984934086629	+	18087717	1062	96.7984934086629
chrY	7279000	7284000	272	chrY_hg002	26986140	0	1062M3938S	96.7984934086629	+	19707140	1062	96.7984934086629
chrY	7280000	7285000	272	chrY_hg002	23534560	0	98S1964M2938S	77.6985743380855	+	16254560	1964	77.6985743380855
chrY	7280000	7285000	272	chrY_hg002	25365815	0	98S1964M2938S	77.6985743380855	+	18085815	1964	77.6985743380855
chrY	7280000	7285000	272	chrY_hg002	26985238	0	98S1964M2938S	77.6985743380855	+	19705238	1964	77.6985743380855
chrY	7281000	7286000	272	chrY_hg002	23534560	0	1098S1964M1938S	77.6985743380855	+	16253560	1964	77.6985743380855
chrY	7281000	7286000	272	chrY_hg002	25365815	0	1098S1964M1938S	77.6985743380855	+	18084815	1964	77.6985743380855
